package,dependency,Developers' (Proposed) Remediation(s),SILENCE
ansible-lint,ansible,※Change Own License,"1.['Remove ansible'] 2.relicense: ['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
apache-airflow-providers-mysql,mysql-connector-python,"Migration, ※No Remediation","1.['Change wtforms version from 3.0.1 to 2.3.2', 'Migrate mysqlclient to pymysql', 'Remove mysql-connector-python'] 2.['Change wtforms version from 3.0.1 to 2.3.2', 'Remove mysqlclient', 'Remove mysql-connector-python']] "
cvxpy,ecos,"Migration, ※No Remediation","1.['Remove ecos'] 2.relicense: ['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
dvc,grandalf,No remediation,1.['Remove grandalf']
fbprophet,lunardate,"※Migration, Removal","1.['Remove lunardate', 'Remove pystan'] 2.relicense: ['GPL-3.0-only', 'GPL-3.0-or-later']"
fbprophet,pystan,※Migration,"1.['Remove lunardate', 'Remove pystan'] 2.relicense: ['GPL-3.0-only', 'GPL-3.0-or-later']"
fiftyone,ndjson,※Migration,"1.['Change voxel51-eta version from 0.8.1 to 0.1.9', 'Change pillow version from 9.3.0 to 6.2.2', 'Change h11 version from 0.14.0 to 0.11.0', 'Change imageio version from 2.22.4 to 2.9.0', 'Remove ndjson'], 2.['Change h11 version from 0.14.0 to 0.11.0', 'Remove voxel51-eta', 'Remove ndjson'] 3.relicense: ['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
fiftyone,patool,※Migration,"1.['Change voxel51-eta version from 0.8.1 to 0.1.9', 'Change pillow version from 9.3.0 to 6.2.2', 'Change h11 version from 0.14.0 to 0.11.0', 'Change imageio version from 2.22.4 to 2.9.0', 'Remove ndjson'], 2.['Change h11 version from 0.14.0 to 0.11.0', 'Remove voxel51-eta', 'Remove ndjson'] 3.relicense: ['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
halo,cursor,"Pin Version, Migration,※Removal","1.['Change cursor version from 1.3.4 to 1.2.0'], 2.['Remove cursor'] 2.relicense: ['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
jiwer,levenshtein,※Migration,"1.['Remove levenshtein'] 2.relicense: ['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
mitmproxy,html2text,※Removal,"1.['Remove html2text'] 2.relicense: ['GPL-3.0-only', 'GPL-3.0-or-later']"
netcdf4,cftime,"※Negotiation, Pin Version","1.['Change cftime version from 1.3.0 to 1.0.4']2.['Migrate cftime to netcdf4'] 2.relicense: ['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
orbit-ml,pystan,Migration,"1.['Remove pystan'] 2.relicense: ['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
pulp,amply,"※Negotiation, Removal","1.['Remove amply'] 2.relicense: ['EPL-1.0', 'EPL-2.0']"
pytest-pylint,pylint,No remediation,"1.['Migrate pylint to flake8'], 2.['Change pylint version from 2.7.4 to 0.20.0'],3. ['Remove pylint'] 4.relicense: ['GPL-3.0-only', 'GPL-3.0-or-later']"
textacy,fuzzywuzzy,※Removal,"1.['Change fuzzywuzzy version from 0.14.0 to 0.11.1', 'Remove python-levenshtein'],  2.['Remove python-levenshtein', 'Remove fuzzywuzzy'],3.relicense: ['GPL-3.0-only', 'GPL-3.0-or-later']"
textacy,python-levenshtein,Migration,"1.['Change fuzzywuzzy version from 0.14.0 to 0.11.1', 'Remove python-levenshtein'],  2.['Remove python-levenshtein', 'Remove fuzzywuzzy'],3.relicense: ['GPL-3.0-only', 'GPL-3.0-or-later']"
textacy,unidecode,"Migration, ※Removal","1.['Change unidecode version from 1.0.22 to 0.04.6', 'Remove python-levenshtein'], 2.['Migrate unidecode to text-unidecode', 'Remove python-levenshtein'],3. ['Remove unidecode', 'Remove python-levenshtein']] 3.relicense: ['GPL-3.0-only', 'GPL-3.0-or-later']"
wemake-python-styleguide,flake8-isort,"Negotiation, ※Migration","1.['Remove flake8-isort', 'Remove flake8-pep3101', 'Remove flake8-builtins']"
workalendar,lunardate,"Change Own License, ※Migration, Removal","1.['Remove lunardate']2.relicense: ['GPL-3.0-only', 'GPL-3.0-or-later']"
yt-dlp,mutagen,"Change Own License, Removal","1.['Remove mutagen']2.relicense: ['GPL-3.0-only', 'GPL-2.0-only', 'GPL-3.0-or-later', 'GPL-2.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
